Origin,Price,Q-Score,Processing Method,Coffee Variety,Fragrance,Aroma,Brightness,Flavor,Body,Finish,Sweetness,Clean Cup,Complexity,Uniformity,Cuppers Correction,Final
South America,6.4,87.6,Dry Process,"Caturra Types, Typica Types, Modern Hybrids",8.69923934,8.80361234,8.52646214,8.80220844,8.81481224,8.31171754,8.55651144,8.19651944,9.09814414,8.29077294,1.5,87.2004146
Central America,,87.6,Dry Process,"Caturra Types, Typica Types",8.49743548,8.62089618,7.63488378,8.47494398,9.15484418,8.23460568,8.49332028,7.20097428,9.09081158,8.19728458,4,87.1889582
Central America,6.25,87.5,Wet Process,"Caturra Types, Bourbon Types, Typica Types",8.60796368,8.70685398,8.70647348,8.70647348,8.71500118,8.60796368,8.56765848,8.49463278,8.70030128,8.68667798,1,87.1833792
South America,6.7,87.6,Wet Process,"Caturra Types, Modern Hybrids",8.70142902,8.80580492,8.61615152,8.80440112,8.72542442,8.71526972,8.55869832,8.19869672,8.78081672,8.19330752,1.5,87.1791468
Central America,6.85,87.6,Wet Process,"Caturra Types, Bourbon Types, Typica Types",8.68725681,8.70549481,8.42799091,8.92107861,9.43702791,8.53545471,8.55894941,8.18698781,8.86782171,8.27193731,1,87.1642379
South America,6.5,87.5,Wet Process,"Caturra Types, Typica Types",8.61107135,8.79848465,8.52133445,8.79708075,8.90941315,8.51419145,8.57076725,8.49774345,8.78666665,8.49324685,1,87.1516915
Africa,6.15,87.5,Dry Process,Bourbon Types,8.28608522,8.39024832,8.23921112,8.89112382,9.06250572,8.72874642,8.64717302,7.99765542,8.98631582,8.27093512,2,87.1274848
South America,6.2,87.5,Wet Process,"Caturra Types, Variedad Colombia, Typica Types",8.6978116,8.8021903,8.511785,8.7132802,8.613935,8.6147666,8.5550761,8.1075311,8.8821778,8.0014463,2,87.116103
Central America,6.8,87.4,Wet Process,"Caturra Types, Bourbon Types, Typica Types",8.61181832,8.71070672,8.50884152,8.71032622,8.81043152,8.51493842,8.67115022,8.49849042,8.38036542,8.48293122,1.5,87.0442218
Central America,7.3,87.4,Dry Process,Heirloom Types,8.50153918,8.71115868,8.32102868,8.71077818,9.03780548,8.21088308,8.54153058,7.99116608,8.87967578,8.49443428,2,87.0411232
South America,6.2,87.4,Wet Process,"Caturra Types, Typica Types, Modern Hybrids",8.59954738,8.71227368,8.22143178,8.78615668,8.52403168,8.41963008,8.76129818,8.20688538,8.88077838,8.28796678,2,87.0280762
Central America,6.65,87.4,Honey Process,Modern Hybrids,8.69860827,8.80298127,8.61333257,8.80157737,8.81418117,8.71244797,8.68323597,8.38838947,8.69474777,8.19049817,1,87.0067253
Africa,5.85,87.4,Wet Process,Bourbon Types,8.69971762,8.80408872,8.73246302,8.80268492,8.30855382,8.61667842,8.55699172,7.99562372,8.87979712,8.00340092,2,86.9951638
Central America,6.2,87.3,Wet Process,Modern Hybrids,8.59472434,8.51920574,8.60632964,8.60632964,8.40014994,8.51168224,8.47967404,8.49523414,8.59593264,8.49073764,2,86.9773656
Africa,5.9,87.4,Wet Process,Bourbon Types,8.68607927,8.70314047,8.62333037,8.74091937,8.14147967,8.61765407,8.55689357,8.48271487,8.67415357,8.17363477,2,86.9729233
Central America,6.6,87.3,Dry Process,Caturra Types,8.69215122,8.80772992,8.21712412,8.78188822,9.03464712,8.60910622,8.46916882,7.98800772,9.00782032,8.19235632,1.5,86.9727068
Central America,6.8,87.3,Wet Process,"Caturra Types, Bourbon Types, Typica Types",8.49865025,8.60853645,8.40565455,8.60713355,9.03487845,8.30489225,8.56906475,8.49604195,8.29466505,8.48048275,2,86.9682675
South America,6.36,87.3,Wet Process,"Bourbon Types, Typica Types",8.49929935,8.70895225,8.40628265,8.70857165,8.90844755,8.51314185,8.56973005,8.49669105,8.49669105,8.49219255,1.5,86.9674035
Central America,6.6,87.3,Machine Washed,Caturra Types,8.40241465,8.60107175,8.70854415,8.70854415,8.52066645,8.51314295,8.48113285,8.49669395,8.38283575,8.98495335,1.5,86.9639405
Central America,6.7,87.3,Wet Process,"Caturra Types, Bourbon Types, Typica Types",8.40345079,8.61020829,8.39410189,8.60880539,8.72925359,8.30657559,8.75894529,8.49771859,8.49771859,8.49322199,2,86.9506141
Central America,7.6,87.3,Wet Process,Bourbon Types,8.29083197,8.51610127,8.74114737,8.74130477,9.04734267,8.30619087,8.46978127,8.47024477,8.26845967,8.44859537,2,86.9353303
Central America,5.95,87.3,Wet Process,Modern Hybrids,8.70958985,8.71159735,8.50974165,8.71121685,8.89983455,8.61271365,8.56409155,8.29801925,8.78830135,8.49489395,1,86.9340955
South America,6.45,87.3,Honey Process,"Caturra Types, Typica Types, Modern Hybrids",8.69669577,8.80106877,8.61142007,8.79966487,8.61282297,8.51677557,8.67298737,8.20714607,8.88105147,8.00036707,1.5,86.9258503
South America,6.3,87.3,Wet Process,"Caturra Types, Bourbon Types, Modern Hybrids",8.50323729,8.71285019,8.51098119,8.71246969,8.52460059,8.51707709,8.55427129,8.19426969,8.88136249,8.18888049,2,86.9234171
Africa,6.05,87.2,Dry Process,Bourbon Types,8.49678861,8.70639761,8.51777231,8.79351861,9.03302731,8.51062931,8.44819131,7.69325271,9.00620141,7.99422081,2,86.8873129
Decaf,7.35,87.3,Water Process Decaf,Heirloom Types,8.6040686,8.5091103,8.4093636,8.6125839,8.2194184,7.8127316,8.4458044,7.6899608,9.0076903,8.9892681,3,86.865975
Indonesia & Asia,6.4,87.2,Wet Process,"Typica Types, Modern Hybrids",8.30524033,8.50917403,8.70822973,8.70822973,8.60888933,8.51284193,8.48083473,8.37826893,8.49639393,8.49189733,2,86.8651867
Decaf,7.75,87.2,Water Process Decaf,"Caturra Types, Typica, Bourbon Types, Heirloom Types",8.40312023,8.52137013,8.79675123,8.70924493,8.89788073,8.61073133,8.47079393,7.90209793,8.89130233,8.99670723,1,86.8564557
Africa,6.05,87.2,Wet Process,Bourbon Types,8.59691695,8.70965175,8.60852325,8.70927125,8.52139645,8.61075765,8.75867925,8.49742395,8.68994215,7.99743735,1.5,86.8561925
Central America,6.4,87.2,Wet Process,"Caturra Types, Bourbon Types, Typica Types",8.40331896,8.70980796,8.60868416,8.70942746,8.52156226,8.51403966,8.67025146,8.49759166,8.37946666,8.18584976,2,86.8532094
Central America,6.25,87.2,Wet Process,"Bourbon Types, Typica Types",8.51589292,8.61194032,8.61053742,8.71128072,8.71980752,8.51589292,8.57246872,8.49944492,8.19309322,8.74964132,1.5,86.8346768
Indonesia & Asia,6.65,87.2,Other Processes,Hybrids,8.69711171,8.71296081,8.52432601,8.80008661,9.21667441,8.51718201,8.53499471,7.69976201,9.28854431,8.20835741,1,86.8231019
South America,6.3,87.2,Wet Process,"Caturra Types, Bourbon Types, Typica Types, Heirloom Types",8.70095145,8.71679955,8.41419395,8.79068355,8.81652435,8.31342965,8.55822355,8.21140175,8.88530715,8.29248505,1.5,86.7832935
Central America,7,87.1,Machine Washed,"Caturra Types, Bourbon Types",8.70506885,8.70707725,8.60595345,8.70669675,8.80680205,8.51130895,8.55956485,8.30663895,8.70052455,8.49036435,1,86.7805165
Central America,7.3,87.1,Wet Process,Modern Hybrids,8.49758676,8.70718536,8.60606726,8.70680476,8.21166476,8.70517686,8.47942026,8.49497946,8.70063266,8.49048186,1.5,86.7781774
Central America,5.9,86,Wet Process,Caturra Types,8.35228519,8.35228519,8.35228519,8.35228519,8.35228519,8.35228519,8.35228519,8.32943329,8.35228519,8.35228519,2.5,86.7642191
Oceania,6.2,87.1,Wet Process,"Bourbon Types, Typica Types",8.50063284,8.71025624,8.60912574,8.70987474,8.52199704,8.30685774,8.53228624,7.69703874,9.01008184,8.50184884,2,86.7506346
Africa,5.95,87.1,Wet Process,Bourbon Types,8.58350456,8.71007336,8.50820816,8.70969286,8.52182766,8.51430506,8.65946576,8.19150536,8.70352066,7.99789656,2,86.7505554
Central America,6.5,87.1,Wet Process,"Caturra Types, Hybrids",8.50022097,8.69892847,8.50693097,8.61467517,8.81463307,8.51571047,8.48890467,8.49184387,8.49162447,8.47652787,1.5,86.7389613
Central America,6.4,87.1,Wet Process,"Caturra Types, Bourbon Types, Typica Types",8.40649417,8.71298317,8.61185937,8.61185937,8.73231417,8.30961327,8.76200777,8.38691627,8.29938607,8.26656637,2,86.7214573
South America,6.15,87,Wet Process,"Caturra Types, Typica Types, Modern Hybrids",8.49502257,8.70464207,8.51600727,8.70426157,8.51638677,8.50886327,8.47685417,8.30418187,8.78135277,7.99242767,2,86.7062893
Africa,6.15,87,Wet Process,Bourbon Types,8.59440552,8.60741462,8.51850552,8.70675982,8.51888502,8.40063512,8.56794112,8.49491252,8.59561482,7.99492592,2,86.6813068
Central America,6.15,87,Wet Process,Bourbon Types,8.30403344,8.60766814,8.50552864,8.50552864,8.40009994,8.51162544,8.37999364,8.49517844,8.30696414,8.98337954,2,86.6761876
Central America,5.8,87,Wet Process,Hybrids,8.60919273,8.70808113,8.60695733,8.70770063,8.80780593,8.51231283,8.56056873,8.29448403,8.70152843,8.49136823,1,86.6704777
Central America,6.45,87,Wet Process,"Caturra Types, Bourbon Types, Typica Types",8.49934422,8.70896762,8.40634002,8.70858612,8.71711482,8.51318492,8.56144372,8.29534092,8.59743922,8.49223842,1.5,86.6635208
Central America,7.1,87,Dry Process,Modern Hybrids,8.59634773,8.70907013,8.21824633,8.70869053,8.52083573,8.51331323,8.48130693,8.08984083,8.87756913,8.28477943,2,86.6591387
Central America,6.5,87,Wet Process,"Caturra Types, Bourbon Types, Typica Types",8.30588077,8.52099337,8.52061387,8.70884817,8.80894777,8.40275597,8.48146457,8.37890547,8.59771457,8.27387547,2,86.6575623
Central America,6.05,87,Honey Process,"Bourbon Types, Modern Hybrids",8.69345482,8.52106672,8.60818392,8.60818392,8.80902112,8.51354422,8.49260052,8.37897882,8.68959442,8.18537152,1.5,86.6568288
South America,6.4,87,Wet Process,"Caturra Types, Typica Types, Modern Hybrids",8.5832128,8.7097882,8.5079125,8.7094077,8.7179355,8.2095126,8.6702289,8.1911925,8.7032355,7.9975738,2,86.654828
Indonesia & Asia,6.7,87,Wet Hulled,"Typica Types, Modern Hybrids",8.40365583,8.51069433,8.70972323,8.50826623,8.30314043,8.40365583,8.57093033,8.59859833,8.49791603,8.49341943,2,86.6466847
Central America,6.95,87,Wet Process,Heirloom Types,8.40374891,8.60236491,8.70981631,8.70981631,8.90962351,8.51445431,8.57102341,8.49800911,8.59869141,8.48245181,1,86.6457539
South America,5.95,87,Wet Process,"Caturra Types, Typica Types, Modern Hybrids",8.40507152,8.71156052,8.50969532,8.61043672,8.81128532,8.30819062,8.56404812,8.29796342,8.29796342,8.48378502,2,86.6356838
South America,6.1,87,Wet Process,"Caturra Types, Typica Types, Modern Hybrids",8.50198165,8.71159065,8.50972545,8.71121015,8.81131545,8.30822075,8.55301465,8.29799355,8.60006995,8.49487775,1.5,86.6353825
Indonesia & Asia,5.9,87,Honey Process,N/A,8.30884297,8.60436187,8.39637307,8.61108427,8.20548177,8.51644067,8.57301547,8.49999267,8.78891117,8.49549607,2,86.6287603
South America,6.25,86.6,Wet Process,"Caturra Types, Typica Types, Modern Hybrids",8.45165382,8.45165382,8.45165382,8.45165382,8.45165382,8.45165382,8.45165382,8.45165382,8.53511562,8.45165382,2,86.6229988
Central America,6.65,86.9,Wet Process,"Caturra Types, Bourbon Types, Typica Types",8.40516554,8.60380544,8.12006934,8.59729084,8.81137164,8.41900524,8.98765164,8.49943624,7.99170764,8.46449644,2,86.5343246
Decaf,7.2,87,No,"Caturra Types, Bourbon Types, Typica Types",8.32250449,8.41863299,8.23497059,8.51088759,8.53775839,8.03168729,8.27108429,8.00572729,7.31824349,9.34850359,4,86.5063161
Indonesia & Asia,6.2,86.9,Wet Hulled,"Typica Types, Modern Hybrids",7.59795126,8.01754936,7.33242596,8.37407196,9.52304826,7.93000966,8.21644576,7.40189966,9.49768906,8.00890906,5,86.4952144
South America,6,86.9,Wet Process,"Caturra Types, Typica Types, Modern Hybrids",8.50617939,8.71578839,8.51392319,8.71540789,8.30064259,8.40929939,8.55721239,8.21039059,8.77932599,8.19183019,2,86.4934051
Central America,5.65,86.8,Wet Process,Modern Hybrids,8.39957319,8.60634599,8.51743969,8.70568839,8.90552799,8.20580759,8.47828759,8.29246219,8.69951619,8.48935119,1.5,86.4912301
Central America,6.8,86.8,Wet Process,"Caturra Types, Bourbon Types",8.30378169,8.60742589,8.50528259,8.60602299,8.72647489,8.30378169,8.47937219,8.49493139,8.29355449,8.47937219,2,86.4793731
Indonesia & Asia,5.65,86.8,Wet Process,"Typica Types, Modern Hybrids",8.28145219,8.51274389,8.64138029,8.64138029,8.32459159,8.22611999,8.55399989,8.29922769,8.08050919,8.23859499,3,86.4738151
Central America,6.5,86.8,Wet Process,"Caturra Types, Modern Hybrids",8.30643054,8.60193794,8.39395684,8.50792374,8.71792474,8.51402064,8.48201434,8.49757354,8.29620334,8.48201434,2,86.4520646
Central America,6.55,86.8,Wet Process,Caturra Types,8.30840758,8.60392648,8.39593768,8.61064888,8.71991708,8.51600528,8.48399808,8.49955728,8.19321138,8.96839028,1.5,86.4331142
Central America,6,86.8,Wet Process,"Caturra Types, Bourbon Types, Typica Types, Modern Hybrids",8.30886899,8.61251799,8.51037369,8.61111509,8.81196369,8.51647059,8.48446339,8.48685989,7.99228489,8.46508179,2,86.4289001
Central America,6.55,86.8,Wet Process,Caturra Types,8.30897273,8.60449163,8.22149313,8.59797703,8.81205783,8.30897273,8.48456323,8.50012243,7.99239383,8.96895543,2,86.4274627
Central America,6.8,86.8,Wet Process,Bourbon Types,8.50277767,8.71238197,8.40978197,8.71200137,9.31577357,8.51661737,8.67282637,8.50016937,7.99244077,8.46522957,1,86.4269933
South America,6.3,86.8,Wet Process,"Caturra Types, Variedad Colombia, Typica Types",8.50321176,8.60497456,8.32271076,8.61169696,8.81254556,8.51705246,8.66221316,8.19425276,8.38247946,8.18886256,2,86.4230814
South America,6.25,86.8,Wet Process,"Caturra Types, Typica Types, Modern Hybrids",8.60076833,8.61377743,8.22262693,8.59913663,8.90175843,8.51772433,8.55491853,8.09420713,8.69379353,8.00128873,2,86.4176787
Indonesia & Asia,5.9,86.8,No,"Hybrids, Typica Types",8.00571092,8.52530612,8.32344572,8.51168672,8.29840982,8.21330772,8.36676162,7.99360692,8.38321242,8.17855202,4,86.4153318
Indonesia & Asia,6.2,86.8,Giling Basah,Hybrids,8.50615884,8.60787584,7.61682794,8.57086374,9.21099564,8.21564764,8.34966084,7.19546694,9.49226284,8.03423974,3,86.3826056
South America,6.05,86.7,Wet Process,"Caturra Types, Variedad Colombia",8.30406912,8.59960812,8.39160502,8.50558432,8.72679292,8.20718442,8.47967212,8.29384102,8.70090732,8.49073562,2,86.3781098
South America,6.25,86.7,Wet Process,"Typica Types, Modern Hybrids",8.30721806,8.60274176,8.60946416,8.71020746,8.30357026,8.30721806,8.48281246,8.38452106,8.49837166,8.49387506,2,86.3454094
South America,7.09,86.7,Wet Process,"Caturra Types, Typica Types, Modern Hybrids",8.50170594,8.71131494,8.50944974,8.71093444,8.81103974,8.51554664,8.57212244,8.49909864,8.38524804,8.48353944,1,86.3381396
South America,6.15,86.7,Wet Process,"Caturra Types, Typica Types, Modern Hybrids",8.19750707,8.61187567,8.71121607,8.50973137,8.81132137,8.40510757,8.67204007,8.49938027,8.29799947,8.48382107,1.5,86.3353233
Indonesia & Asia,6.25,86.7,Wet Hulled,Modern Hybrids,8.10098016,8.29680096,8.22109736,8.59758126,8.90018116,8.21169886,8.45373766,7.69881236,9.01173816,8.20737206,3,86.3314204
South America,5.95,86.7,Wet Process,"Caturra Types, Bourbon Types, Typica Types",8.502483,8.712092,8.3962532,8.6109682,8.8118168,8.405603,8.4843165,8.4998757,8.4998757,8.2767159,1.5,86.330369
Indonesia & Asia,6.3,86.7,Wet Hulled,Typica Types,7.89338535,8.29677105,8.40929985,8.71149445,9.21551315,8.01793335,8.32635495,7.01609565,9.69437785,8.11877435,3,86.3299175
Central America,6.6,86.7,Wet Process,Caturra Types,8.51709289,8.61314029,8.52423589,8.71248069,8.81258599,8.30949129,8.57366869,8.48748219,7.69971629,8.95010579,1.5,86.3226771
Indonesia & Asia,6.6,86.6,Honey Process,Modern Hybrids,8.1800882,8.5000793,8.3307392,8.623624,8.8265449,8.2215883,8.4692661,8.294696,8.6841079,8.4692661,2,86.319132
Central America,5.75,85.4,Wet Process,Bourbon Types,8.34275755,8.34275755,8.34275755,8.34275755,8.34275755,8.34275755,8.34275755,8.31518205,8.34275755,8.34275755,2,86.3067315
Oceania,6.55,86.7,Wet Process,Bourbon Types,8.28905032,8.41116932,8.33825902,8.62669302,8.82570102,7.93050072,8.59863402,7.19314892,8.99627332,8.49057032,3,86.3042798
South America,5.85,86.6,Wet Process,"Caturra Types, Variedad Colombia, Typica Types",8.49545196,8.60534766,8.51643666,8.70469386,8.20949656,8.20479016,8.47728256,8.30460746,8.59354696,8.48834616,2,86.3024434
Central America,6.55,86.6,Wet Process,"Caturra Types, Bourbon Types, Typica Types",8.30350082,8.59901972,8.31676072,8.60574212,9.03348702,8.31734052,8.98286592,8.49465052,7.98692192,8.45971072,1.5,86.2821818
Indonesia & Asia,5.65,86.6,Wet Process,"Typica Types, Modern Hybrids",8.30374024,8.51887584,8.40450934,8.60600264,8.51887584,8.30374024,8.46829964,8.20170764,8.78384184,8.49040674,2,86.2813986
Central America,6.5,86.6,Machine Washed,Caturra Types,8.30478498,8.60029238,8.31804388,8.60701478,8.51989758,8.41549888,8.66857828,8.49592798,8.18959248,8.48036878,2,86.2685202
Central America,6.5,86.6,Machine Washed,"Caturra Types, Modern Hybrids",8.30517332,8.60069222,8.31843322,8.60741462,8.71668282,8.20829522,8.48076382,8.49632302,7.90106572,8.96515602,2,86.2654568
Central America,6.45,86,Wet Process,Caturra Types,8.4022852,8.4022852,8.4022852,8.4022852,8.4022852,8.4022852,8.4022852,8.3794332,8.4022852,8.4022852,2,86.265097
Central America,5.65,86.6,Wet Process,Modern Hybrids,8.19527124,8.80922194,8.60832944,8.70909474,8.01434344,8.30601664,8.48164914,8.49721214,8.49721214,8.48164914,2,86.2624976
Central America,6.6,86.6,Wet Process,"Caturra Types, Bourbon Types, Typica Types",8.40374237,8.71022567,8.50836427,8.60910467,9.03684957,8.30686337,8.48245387,8.29663617,7.99028447,8.25547557,2,86.2485563
Indonesia & Asia,6.2,86.6,Giling Basah,Typica Types,8.00254668,8.29526648,8.21955808,8.50855858,8.81016388,8.21015868,8.23627218,7.79793968,9.01025428,8.00928148,3.5,86.2483672
Central America,5.75,86.6,Wet Process,Modern Hybrids,8.40418338,8.52242178,8.50880238,8.50880238,8.72998898,8.30730718,8.37493698,8.38033198,8.38033198,8.48289298,2,86.2434502
South America,5.65,86.6,Dry Process,Bourbon Types,8.19800199,8.52386389,7.72671759,8.46648989,9.03876599,7.81046069,8.24628839,7.80389939,9.27454579,8.01096639,3.5,86.2315181
Indonesia & Asia,6.25,86.6,Wet Hulled,"Typica Types, Modern Hybrids",7.69986026,8.00905296,7.44191476,8.27829286,9.03873556,7.90744756,8.39578936,7.01628846,9.78218676,8.03043146,5,86.2283224
Central America,6.55,86.6,Wet Process,"Caturra Types, Typica, Bourbon Types",8.30894198,8.60444938,8.32220088,8.61117178,9.20780668,8.30894198,8.48452578,8.38196668,7.90484868,8.46514618,2,86.2269502
Central America,6,86.6,Wet Process,"Caturra Types, Bourbon Types, Typica Types, Modern Hybrids",8.50292184,8.52428514,8.61140704,8.51066564,8.72067714,8.40604184,8.57333834,8.48715184,8.00573804,8.25777314,2,86.2259806
Indonesia & Asia,7.4,86.6,Honey Process,"Typica Types, Modern Hybrids",8.18525542,8.50448352,8.33554682,8.52324902,9.34356342,8.22665632,8.36608062,8.18179352,8.67494622,8.25842512,2,86.2161808
South America,5.8,86.6,Wet Process,Typica Types,8.29691447,8.52589067,8.32401597,8.51227027,8.61442027,8.21387037,8.54451787,7.99415337,8.38378657,8.19016017,3,86.2112503
Indonesia & Asia,6.3,86.6,Wet Process,"Typica Types, Modern Hybrids",8.50458887,8.61448457,8.51233277,8.51233277,8.81394367,8.51842957,8.48641947,8.48881707,7.70099477,8.44765647,2,86.2110743
Central America,6.75,86.5,Honey Process,"Caturra Types, Bourbon Types, Typica Types",8.49546299,8.70508249,8.50320679,8.60395399,9.03172929,8.01103559,8.48835809,8.49285469,8.18648679,7.98182929,2,86.2018851
Indonesia & Asia,6.45,86.6,Wet Hulled,"Typica Types, Modern Hybrids",8.31118732,8.51506952,8.02229932,8.70084052,9.04100472,8.40804442,8.51716952,7.29461632,9.49120102,8.29856732,2,86.2000808
Central America,,86.2,Machine Washed,"Caturra Types, Modern Hybrids",8.2,8.5,8,8.5,8.8,8.2,8.3,8.2,8,8.5,3,86.2
South America,5.75,86,Wet Process,Typica Types,8.40145807,8.40145807,8.40145807,8.40145807,8.40145807,8.40145807,8.40145807,8.38687737,8.40145807,8.40145807,2,86.1923533
South America,5.95,86.5,Wet Process,"Caturra Types, Typica Types, Modern Hybrids",8.49841564,8.60831134,8.40541144,8.70765754,8.71618624,8.51225634,8.56883694,8.49580734,8.49580734,8.49130984,1,86.1728066
Central America,6.55,86.5,Wet Process,"Caturra Types, Hybrids",8.49897919,8.52034249,8.40598259,8.60746439,8.80831299,8.30521829,8.49187529,8.70203549,8.19002019,8.46976909,1.5,86.1654071
Central America,6.1,86.5,Wet Process,Bourbon Types,8.30576463,8.52093643,8.40655083,8.70884273,9.21302263,8.01505893,8.38174383,8.49696013,7.98910903,8.46201083,2,86.1650177
Central America,6.05,86.5,Wet Process,Bourbon Types,8.49926103,8.60915673,8.60775393,8.60775393,8.01385753,8.51310173,8.48109163,8.49665273,8.19027913,8.48109163,2,86.1643527
Indonesia & Asia,6.15,86.6,Wet Hulled,"Typica Types, Modern Hybrids",8.20422805,8.41092655,7.33038485,8.44612475,9.32122005,8.02438795,8.33270235,7.02289975,9.48152035,8.02560535,4,86.1584615
Central America,5.75,86.5,Wet Process,Modern Hybrids,8.19517831,8.52101641,8.60813741,8.60813741,8.52101641,8.30589611,8.26284911,8.29566891,8.68955071,8.49254921,2,86.1582289
Central America,6.1,86.5,Wet Process,Caturra Types,8.19519691,8.50984461,8.31917461,8.50741561,9.31266861,8.51351241,8.38187671,8.49706441,7.80112151,8.46212461,2,86.1580429
Central America,6.75,86.5,Wet Process,Bourbon Types,8.29265489,8.51042829,8.70948399,8.60874069,8.71801079,8.40337549,8.48208899,8.49764819,8.19129649,8.08627219,2,86.1526441
Central America,5.95,86.5,Other Processes,Bourbon Types,8.50168158,8.61156398,8.39545758,8.61016108,9.41436128,8.30793128,8.48351508,8.49907428,8.19273878,8.48351508,1,86.1370572
Central America,6.6,86.5,Wet Process,Caturra Types,8.40498592,8.52322722,8.50960782,8.61034822,8.81119202,8.21122882,8.48369742,8.48609492,7.99152802,8.96808962,1.5,86.1361208
Central America,6.8,86.5,Wet Process,Modern Hybrids,8.50300979,8.71262929,8.39677429,8.61150079,8.01761529,8.40612409,8.67306999,8.50040149,8.19403359,8.48484139,2,86.1264171
Central America,6.15,86.5,Wet Process,"Caturra Types, Bourbon Types, Typica Types",8.3103491,8.5254694,8.3978792,8.51185,8.8134342,8.3103491,8.5662008,8.3833757,8.1951529,8.4859396,2,86.113699
Indonesia & Asia,6.65,86.5,Honey Process,"Typica, Modern Hybrids",8.29655967,8.51432157,8.51189357,8.51189357,8.61403307,8.10280827,8.25901247,7.99382907,8.69404247,8.00160627,3,86.1125383
Central America,6.55,86.5,Wet Process,Caturra Types,8.3107019,8.6062409,8.2232166,8.5997263,8.8138224,8.3107019,8.4752613,8.1954971,7.9941002,8.9707314,2,86.111782
Central America,5.95,86.5,Wet Process,"Caturra Types, Bourbon Types, Typica Types",8.2001646,8.4069517,8.3984125,8.6131237,8.8139675,8.6153582,8.5750549,8.5020321,8.1956862,8.1792486,2,86.108366
South America,6.1,86.5,Wet Process,"Caturra Types, Typica Types, Heirloom Types",8.50488064,8.71448964,8.32437964,8.61336584,8.71448964,8.40800064,8.55591364,8.19592164,8.77802724,8.19053144,1.5,86.1063926
Central America,,86.4,Machine Washed,Caturra Types,8.40033597,8.50738877,8.31671497,8.50495977,8.51857927,8.51105667,8.47904947,8.49460867,8.18825697,8.47904947,2,86.0830393
Central America,6.35,86.5,Wet Process,"Caturra Types, Bourbon Types, Typica Types",8.41104226,8.60967446,8.40169336,8.51566026,8.81723406,8.21729186,8.54790496,7.99759956,8.49214836,8.48975086,2,86.0746994
South America,5.85,86.4,Wet Process,"Bourbon Types, Modern Hybrids",8.29675153,8.39521843,8.42419483,8.52488763,9.34716083,8.22758633,8.38672023,8.47139313,7.88957743,8.43650963,2,86.0591517
Central America,6.2,86.5,Wet Process,Caturra Types,8.29104544,8.51861414,7.93498594,8.50057154,8.82192834,8.53186544,8.49786404,8.47272994,7.50308874,8.42730644,3,86.0584936
South America,6,86.4,Wet Process,Caturra Types,8.40446958,8.52271288,8.50909338,8.60983478,8.40365998,8.40446958,8.48318308,8.49874228,8.09169498,8.47213948,2,86.0417032
South America,5.25,83.4,Dry Process,"Bourbon Types, Modern Hybrids",7.39997339,7.89754149,7.51852799,7.99586059,8.50107429,7.60762029,7.85801359,7.19772959,8.71240089,7.71125789,5,86.0319551
Decaf,7.3,86.4,Wet Process then SWP Decaf,Hybrids,8.21265914,8.19803554,7.81911304,8.29633074,8.80142334,8.01890214,8.15851714,7.90542964,8.50068694,8.98890234,3.5,86.0218176
Central America,5.65,86.4,Wet Process,Modern Hybrids,8.50516733,8.71478683,8.41216503,8.61365833,8.90304213,8.40828163,8.56726583,8.30116783,8.69507723,8.27938783,1,86.0048417
Central America,5.55,86.3,Wet Process,"Caturra Types, Modern Hybrids",8.19692148,8.60275858,8.33373948,8.52188988,8.82954518,8.32141988,8.36434668,8.19277688,8.47267068,8.46393128,2,85.9891292
Decaf,7.2,86.4,Wet Process then SWP Decaf,Bourbon Types,7.51497489,8.01633769,7.05468829,8.24769719,8.43641509,7.62924609,8.14238199,7.23146519,8.65885669,9.46793689,6,85.9705761
Central America,5.85,86.3,Wet Process,Caturra Types,8.30629153,8.52141183,8.40705383,8.60853283,9.03627773,8.30629153,8.48188203,8.48427953,7.69652693,8.45145223,2,85.9542747
Central America,5.7,86.3,Wet Process,Bourbon Types,8.30678267,8.40285197,8.21930307,8.50828357,9.03676887,8.20990457,8.48237317,8.48477067,7.69701807,8.45194337,2.5,85.9493633
Central America,6.45,86.3,Wet Process,"Caturra Types, Typica Types",8.29854051,8.60754531,8.33852621,8.52667661,9.24115411,8.22937531,8.54621831,8.08376451,7.97885121,8.44934791,2,85.9412619
Central America,6.45,86.3,Wet Process,Bourbon Types,8.31076408,8.71413398,8.22328358,8.51226878,8.30711628,8.40764498,8.38672718,8.48875498,7.51276478,8.43654138,3,85.9099492
Africa,5.25,86.3,Wet Process,Bourbon Types,8.200121,8.5147687,8.0218845,8.3108636,8.8139239,8.0202037,8.5362473,7.9067312,8.4888268,8.4864293,3,85.908802
Central America,5.95,86.4,Wet Process,"Caturra Types, Bourbon Types, Typica Types",8.21130924,8.31025864,8.03306084,8.51031474,9.22099664,8.21130924,8.27064394,8.19366434,7.02939064,8.40905174,4,85.8984456
Central America,5.5,86.2,Wet Process,Modern Hybrids,8.40322072,8.52145812,8.31960442,8.50783872,8.80941252,8.30634552,8.36291932,8.19115302,8.29611832,8.48192932,2,85.8529148
Central America,5.85,86.2,Wet Process,Caturra Types,8.21042707,8.39223077,8.32059177,8.50887857,8.61104567,8.21042707,8.38330917,8.29709897,7.80241477,8.46357617,3,85.8493643
